company,com_response_to_consumer,date_received,product,sub_product,issue,sub_issu,consumer_complaint_nar,company_pub_response,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_com,timely_response,consumer_dis,complaint_id
ALLIANCE FINANCIAL RESOURCES,Closed,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
ALLIANCE FINANCIAL RESOURCES,Closed with explanation,4,4,4,4,0,4,3,4,4,1,4,4,4,4,4,4
ALLIANCE FINANCIAL RESOURCES,Closed with monetary relief,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
ALLIANCE FINANCIAL RESOURCES,Untimely response,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1
ALLIANT CREDIT UNION,Closed with explanation,51,51,51,51,48,18,0,48,38,4,27,51,51,51,0,51
ALLIANT CREDIT UNION,Closed with monetary relief,5,5,5,5,5,0,0,5,5,0,1,5,5,5,0,5
ALLIANT CREDIT UNION,Closed with non-monetary relief,4,4,4,4,3,4,0,4,2,1,4,4,4,4,0,4
ALLIED MORTGAGE GROUP,Closed,2,2,2,2,0,0,1,2,2,0,1,2,2,2,2,2
ALLIED MORTGAGE GROUP,Closed with explanation,8,8,8,8,1,1,2,8,8,1,3,8,8,8,4,8
ALLIED MORTGAGE GROUP,Closed with monetary relief,2,2,2,2,0,0,1,2,2,0,1,2,2,2,1,2
ALLIED NATIONAL INC,Untimely response,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1
ALLOCATED BUSINESS MANAGEMENT LLC,Closed with explanation,3,3,3,3,3,1,1,3,3,0,2,3,3,3,2,3
"ALLTRAN FINANCIAL, LP",Untimely response,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
ALLY FINANCIAL INC.,Closed,25,25,25,25,1,5,14,25,22,4,7,25,25,25,25,25
ALLY FINANCIAL INC.,Closed with explanation,4875,4875,4831,4875,2544,1829,3794,4806,4322,766,2925,4875,4875,4875,2534,4875
ALLY FINANCIAL INC.,Closed with monetary relief,508,508,506,508,177,148,346,497,460,79,212,508,508,508,336,508
ALLY FINANCIAL INC.,Closed with non-monetary relief,542,542,534,542,256,183,407,531,487,66,282,542,542,542,316,542
ALLY FINANCIAL INC.,Closed with relief,9,9,9,9,0,0,0,9,9,1,0,9,9,9,9,9
ALLY FINANCIAL INC.,Closed without relief,59,59,58,59,0,0,0,58,58,5,0,59,59,59,59,59
ALLY FINANCIAL INC.,In progress,75,75,75,75,73,0,0,74,66,12,2,75,75,75,0,75
ALMA Financial Assistance Corp.,Closed with explanation,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
ALPAT COMPANY INC,Closed with explanation,10,10,10,10,10,0,0,10,10,0,6,10,10,10,10,10
ALPAT COMPANY INC,Closed with non-monetary relief,5,5,5,5,5,0,0,5,5,1,3,5,5,5,5,5
ALPAT COMPANY INC,Untimely response,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
ALPHA MORTGAGE CORPORATION,Untimely response,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
ALTERNATIVE DISPUTE RESOLUTIONS,Closed,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
ALTERNATIVE DISPUTE RESOLUTIONS,Untimely response,55,55,55,55,54,35,0,49,40,7,46,55,55,55,14,55
"AM Systems, LLC",Closed with explanation,2,2,2,2,2,0,2,2,2,0,1,2,2,2,2,2
"AMCOL Systems, Inc.",Closed,2,2,2,2,2,0,0,2,2,1,1,2,2,2,2,2
"AMCOL Systems, Inc.",Closed with explanation,465,465,463,465,465,208,0,461,413,61,391,465,465,465,167,465
"AMCOL Systems, Inc.",Closed with non-monetary relief,14,14,14,14,14,1,0,14,13,9,2,14,14,14,14,14
AMERICA FIRST FEDERAL CREDIT UNION,Closed with explanation,9,9,9,9,8,0,0,9,9,2,4,9,9,9,0,9
AMERICA FIRST FEDERAL CREDIT UNION,Closed with non-monetary relief,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1
AMERICA FIRST FEDERAL CREDIT UNION,In progress,6,6,6,6,5,0,0,5,5,0,0,6,6,6,0,6
"AMERICA'S CAR-MART, INC.",Closed with explanation,47,47,47,47,36,24,43,44,31,9,38,47,47,47,11,47
"AMERICA'S CAR-MART, INC.",Closed with non-monetary relief,2,2,2,2,0,0,0,2,2,0,0,2,2,2,2,2
"AMERICA'S LOAN COMPANY, LLC",Closed with explanation,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1
"AMERICAN ADJUSTMENT BUREAU,INC.",Closed,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
"AMERICAN ADJUSTMENT BUREAU,INC.",Closed with explanation,93,93,93,93,93,33,5,93,78,13,72,93,93,93,58,93
AMERICAN ADVISORS GROUP,Closed,10,10,10,10,0,1,2,10,10,8,3,10,10,10,10,10
AMERICAN ADVISORS GROUP,Closed with explanation,197,197,197,197,2,51,75,190,174,110,83,197,197,197,120,197
AMERICAN ADVISORS GROUP,Closed with monetary relief,6,6,6,6,0,2,3,6,5,4,3,6,6,6,2,6
AMERICAN ADVISORS GROUP,Closed with non-monetary relief,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
