company,date_received,product,sub_product,issue,sub_issu,consumer_complaint_nar,company_pub_response,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_com,com_response_to_consumer,timely_response,consumer_dis,complaint_id
ACCESS TO LOANS FOR LEARNING STUDENT LOAN CORP.,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
"ACCORD CREDITOR SERVICES, LLC",2,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,2
ACCOUNT SERVICES INC.,3,3,3,3,3,1,0,3,3,0,3,3,3,3,3,0,3
ACCOUNTS ADVOCATE AGENCY,2,2,2,2,2,1,0,2,1,0,1,2,2,2,2,0,2
"ACE CASH EXPRESS, INC.",1315,1315,988,1315,703,534,22,1289,1179,160,839,1315,1315,1315,1315,886,1315
ACG FUNDING INC,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
ACH Recovery Solutions,11,11,8,11,8,3,0,11,10,2,5,11,11,11,11,9,11
"ACI Worldwide, Corp.",11,11,11,11,8,4,1,10,9,2,10,11,11,11,11,2,11
"ACIMA CREDIT, LLC",123,123,123,123,76,70,1,119,97,18,99,123,123,123,123,3,123
ACOPIA CAPITAL GROUP,15,15,15,15,0,6,1,15,13,0,13,15,15,15,15,8,15
"ACQ Holdings, LLC.",10,10,9,10,3,7,9,10,6,4,10,10,10,10,10,3,10
ACRANET INC,8,8,7,8,7,4,7,8,6,0,7,8,8,8,8,2,8
ACRE MORTGAGE,9,9,9,9,0,2,4,8,7,2,3,9,9,9,9,6,9
ACS Education Services,1206,1206,1205,1206,1013,479,9,1190,1080,120,781,1206,1206,1206,1206,825,1206
ACS Financial LLC,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1
ACXIOM CORP.,7,7,7,7,3,0,0,7,7,1,1,7,7,7,7,0,7
AD Capital LLC,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
ADA Brown LLC dba Star of Texas Financial Solutions,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
ADESA CORPORATION,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1
ADF Automotives LLC,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
"ADIR INTERNATIONAL, INC.",10,10,9,10,8,9,8,10,10,2,10,10,10,10,10,2,10
"ADP, LLC",22,22,22,22,19,12,5,21,20,5,16,22,22,22,22,0,22
ADR ARBITRATION SERVICES (Closed),37,37,33,37,33,4,0,37,36,6,5,37,37,37,37,37,37
ADVANCE MORTGAGE & INVESTMENT,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1
"ADVANCED DEBT COLLECTION, INC.",3,3,3,3,3,1,0,3,3,2,3,3,3,3,3,0,3
"ADVANTAGE RECOVERY SERVICES, INC.",2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,1,2
"ADVISORS MORTGAGE GROUP, LLC",7,7,7,7,0,4,7,7,7,2,4,7,7,7,7,1,7
AE Tradings Inc,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
AES/PHEAA,9700,9700,9682,9700,9043,4752,1,9582,8242,1013,7500,9700,9700,9700,9700,3990,9700
"AFM Financial Services, LLC",3,3,3,3,3,2,0,3,3,2,2,3,3,3,3,3,3
AFNI INC.,2777,2777,2744,2777,2766,1124,4,2762,2523,428,1951,2777,2777,2777,2777,1644,2777
AG AG LLC,10,10,10,10,0,7,1,9,8,1,9,10,10,10,10,0,10
"AGORA NOTUS, LLC",3,3,3,3,1,3,2,3,2,1,3,3,3,3,3,1,3
AHL Funding,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1
AIH Receivables Management Inc.,6,6,6,6,6,3,5,6,3,1,4,6,6,6,6,3,6
"AKT AMERICAN CAPITAL, INC. DBA AMERICAN CAPITAL CORP.",3,3,3,3,0,3,0,3,3,0,3,3,3,3,3,3,3
ALASKA COMMISSION ON POST SECONDARY EDUCATION,28,28,28,28,23,11,1,28,27,5,17,28,28,28,28,19,28
ALCHRO INC.,118,118,115,118,118,60,3,116,111,8,93,118,118,118,118,53,118
ALCOVA MORTGAGE LLC,6,6,6,6,0,2,3,6,6,1,4,6,6,6,6,4,6
"ALE Solutions, Inc.",3,3,3,3,3,1,1,3,3,1,2,3,3,3,3,1,3
"ALEXANDER-ROSE ASSOC, INC.",28,28,28,28,27,9,7,27,26,7,20,28,28,28,28,15,28
ALG,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
"ALG Real Estate Services, Inc",1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
ALG Trustee LLC,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
ALKAN MORTGAGE CORPORATION,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
"ALL FAMILY FINANCE, LLC",2,2,2,2,1,2,1,2,2,0,2,2,2,2,2,1,2
ALL WESTERN MORTGAGE,7,7,7,7,0,2,3,7,6,0,2,7,7,7,7,5,7
ALLEN TATE MORTGAGE SERVICES,8,8,8,8,0,4,2,8,6,1,5,8,8,8,8,7,8
ALLIANCE FINANCIAL RESOURCES,7,7,7,7,0,5,3,7,7,1,6,7,7,7,7,6,7
ALLIANT CREDIT UNION,60,60,60,60,56,22,0,57,45,5,32,60,60,60,60,0,60
ALLIED MORTGAGE GROUP,12,12,12,12,1,1,4,12,12,1,5,12,12,12,12,7,12
ALLIED NATIONAL INC,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1
ALLOCATED BUSINESS MANAGEMENT LLC,3,3,3,3,3,1,1,3,3,0,2,3,3,3,3,2,3
"ALLTRAN FINANCIAL, LP",1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
ALLY FINANCIAL INC.,6093,6093,6038,6093,3051,2165,4561,6000,5424,933,3428,6093,6093,6093,6093,3279,6093
ALMA Financial Assistance Corp.,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
ALPAT COMPANY INC,16,16,16,16,16,0,0,16,16,1,10,16,16,16,16,15,16
ALPHA MORTGAGE CORPORATION,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
ALTERNATIVE DISPUTE RESOLUTIONS,56,56,56,56,55,35,0,50,41,7,46,56,56,56,56,15,56
"AM Systems, LLC",2,2,2,2,2,0,2,2,2,0,1,2,2,2,2,2,2
"AMCOL Systems, Inc.",481,481,479,481,481,209,0,477,428,71,394,481,481,481,481,183,481
AMERICA FIRST FEDERAL CREDIT UNION,16,16,16,16,14,0,0,15,15,2,4,16,16,16,16,0,16
"AMERICA'S CAR-MART, INC.",49,49,49,49,36,24,43,46,33,9,38,49,49,49,49,13,49
"AMERICA'S LOAN COMPANY, LLC",1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1
"AMERICAN ADJUSTMENT BUREAU,INC.",94,94,94,94,94,33,5,94,79,13,73,94,94,94,94,59,94
AMERICAN ADVISORS GROUP,214,214,214,214,2,54,81,207,190,123,90,214,214,214,214,132,214
"AMERICAN BANCSHARES MORTGAGE, LLC",1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1
AMERICAN EAGLE MORTGAGE COMPANY,5,5,5,5,0,2,2,4,4,0,3,5,5,5,5,3,5
AMERICAN EQUITY MORTGAGE,26,26,26,26,0,5,9,25,24,7,8,26,26,26,26,24,26
AMERICAN EXPRESS COMPANY,15082,15082,8359,15082,7102,5360,0,14827,13455,2017,8833,15082,15082,15082,15082,8298,15082
AMERICAN FAMILY FUNDING GROUP Inc.,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1
AMERICAN FEDERAL MORTGAGE CORPORATION,5,5,5,5,1,0,3,5,5,0,2,5,5,5,5,4,5
AMERICAN FINANCE HOUSE LARIBA,3,3,3,3,0,0,0,3,3,0,1,3,3,3,3,3,3
AMERICAN FINANCIAL MORTGAGE COMPANY,3,3,3,3,0,0,1,3,3,0,2,3,3,3,3,3,3
AMERICAN FINANCIAL NETWORK INC.,63,63,63,63,4,30,48,63,51,14,47,63,63,63,63,29,63
AMERICAN FINANCING CORPORATION,15,15,15,15,1,6,5,14,12,5,6,15,15,15,15,9,15
AMERICAN HONDA FINANCE CORP,1326,1326,1315,1326,709,533,1,1309,1192,169,918,1326,1326,1326,1326,670,1326
AMERICAN INTERNET MORTGAGE,79,79,79,79,1,24,15,79,75,7,37,79,79,79,79,60,79
AMERICAN MIDWEST MORTGAGE,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
"AMERICAN MORTGAGE & EQUITY CONSULTANTS, INC.",6,6,6,6,1,3,4,6,5,1,6,6,6,6,6,3,6
"AMERICAN MORTGAGE AND INVESTMENT SERVICES, INC.",1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1
AMERICAN NEIGHBORHOOD MORTGAGE,35,35,35,35,1,17,0,35,28,5,22,35,35,35,35,22,35
AMERICAN PACIFIC MORTGAGE,36,36,36,36,1,21,16,35,30,4,26,36,36,36,36,24,36
AMERICAN PORTIFOLIO MORTGAGE,7,7,7,7,0,4,3,7,7,1,6,7,7,7,7,5,7
AMERICAN SECURITY MORTGAGE CORPORATION,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
AMERICAN SOUTHWEST MORTGAGE CORP.,18,18,18,18,0,3,3,18,18,2,7,18,18,18,18,16,18
AMERICASH,15,15,15,15,5,4,2,14,13,3,8,15,15,15,15,6,15
"AMERIFIRST FINANCIAL, INC.",11,11,11,11,0,1,4,11,11,1,4,11,11,11,11,9,11
"AMERINATIONAL COMMUNITY SERVICES, INC.",39,39,39,39,6,17,31,39,35,4,34,39,39,39,39,16,39
"AMERIPRO FUNDING, INC.",3,3,3,3,0,1,1,3,3,1,1,3,3,3,3,3,3
AMERIS BANCORP,22,22,22,22,13,7,0,19,17,6,9,22,22,22,22,0,22
AMERISAVE MORTGAGE CORPORATION,300,300,300,300,4,115,139,299,263,60,164,300,300,300,300,227,300
AMRON PROFESSIONAL SERVICES,4,4,3,4,3,2,0,4,3,0,3,4,4,4,4,4,4
ANDERSON FINANCIAL GROUP,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
"ANSELL GRIMM & AARON, P.C.",1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
"APEX Asset Management, LLC",88,88,88,88,88,38,7,88,76,14,62,88,88,88,88,54,88
APEX HOME LOANS,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
APO LLC,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1
"APPLE FINANCIAL HOLDINGS, INC.",90,90,90,90,41,22,11,87,84,10,41,90,90,90,90,42,90
"APPLE RECOVERY, LLC",24,24,22,24,21,14,2,24,23,4,16,24,24,24,24,17,24
"AR Audit Services, Inc",9,9,9,9,9,2,0,9,9,0,4,9,9,9,9,9,9
"AR Resources, Inc.",439,439,436,439,437,191,5,438,406,61,349,439,439,439,439,179,439
"AR Resources, Inc. (FL)",65,65,64,65,65,23,62,65,62,8,63,65,65,65,65,38,65
AR Solutions Inc,10,10,10,10,10,4,3,10,9,1,7,10,10,10,10,6,10
ARAKI-REGAN & ASSOCIATES LLC,4,4,4,4,4,0,2,4,4,1,2,4,4,4,4,3,4
ARBOR MORTGAGE,3,3,3,3,0,1,0,3,2,1,1,3,3,3,3,3,3
"ARC Management Group, LLC",76,76,76,76,76,37,15,75,61,13,58,76,76,76,76,39,76
ARC Services,14,14,14,14,14,6,3,14,13,4,12,14,14,14,14,10,14
ARM WNY LLC,132,132,129,132,128,0,0,132,132,12,1,132,132,132,132,132,132
"ARS National Services, Inc.",212,212,208,212,209,54,0,208,196,30,112,212,212,212,212,104,212
"ARVEST BANK GROUP, INC.",738,738,724,738,133,164,133,731,677,85,260,738,738,738,738,514,738
ASG Solutions LLC,15,15,15,15,15,10,0,14,13,2,13,15,15,15,15,2,15
ASPIRE FINANCIAL INC.,20,20,20,20,0,7,2,20,20,3,10,20,20,20,20,14,20
"ASSOCIATED BANK, NATIONAL ASSOCIATION",362,362,357,362,87,63,1,353,330,43,103,362,362,362,362,239,362
ASSOCIATED MORTGAGE BANKERS IN,4,4,4,4,1,1,3,4,4,0,1,4,4,4,4,3,4
ASSOCIATED MORTGAGE CORP,6,6,6,6,0,0,1,6,6,0,1,6,6,6,6,6,6
"ASSURANCE FINANCIAL GROUP, LLC",3,3,3,3,0,2,3,3,3,0,3,3,3,3,3,2,3
ASTA FUNDING INC.,158,158,156,158,153,45,20,157,146,33,64,158,158,158,158,125,158
ASTORIA BANK,290,290,289,290,10,46,4,289,280,45,73,290,290,290,290,267,290
"ATG Credit, LLC",266,266,263,266,264,100,157,263,242,40,169,266,266,266,266,170,266
"ATHAS CAPITAL GROUP, INC.",8,8,8,8,0,4,5,8,6,1,6,8,8,8,8,2,8
ATLANTIC BAY MORTGAGE GROUP LLC,33,33,33,33,1,17,2,33,24,6,27,33,33,33,33,16,33
"ATLANTIC COAST FINANCIAL SERVICES, INC.",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
ATLANTIC COAST MORTGAGE LLC,2,2,2,2,0,0,0,2,1,1,1,2,2,2,2,2,2
ATLANTIC HOME LOANS INC.,3,3,3,3,0,0,1,3,3,0,0,3,3,3,3,3,3
ATLANTIC PACIFIC MORTGAGE CORP,23,23,23,23,1,11,3,23,21,6,15,23,23,23,23,17,23
"ATLAS COLLECTIONS, INC.",9,9,9,9,9,3,0,9,7,1,3,9,9,9,9,7,9
"AUDIT SYSTEMS,INC",30,30,30,30,30,16,12,30,21,5,22,30,30,30,30,14,30
AUDUBON LIBERTY & ASSOCIATES,3,3,3,3,3,1,0,3,3,1,1,3,3,3,3,3,3
AURORA FINANCIAL GROUP INC,21,21,21,21,1,2,1,21,21,1,2,21,21,21,21,20,21
"AUTOMATED RECOVERY SYSTEMS, INC",2,2,2,2,2,1,0,2,2,1,1,2,2,2,2,2,2
AUTOMOTIVE CREDIT CORPORATION,51,51,48,51,41,32,42,51,49,6,43,51,51,51,51,19,51
AVANTE,179,179,178,179,176,73,2,179,162,14,135,179,179,179,179,84,179
"AXIA FINANCIAL, LLC",8,8,8,8,0,4,5,8,7,3,4,8,8,8,8,5,8
"AXIS FINANCIAL SERVICES, INC.",1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
"AZ Home Loans, LLC",1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1
"Aargon Agency, Inc.",638,638,631,638,635,280,523,631,576,89,496,638,638,638,638,297,638
Aaron Worldwide Collections Inc.,5,5,5,5,5,1,0,5,5,0,1,5,5,5,5,3,5
Abbey Mortgage of Ocala Inc.,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
"Abendroth and Russell, P.C.",1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
"Ability Recovery Services, LLC",844,844,840,844,842,432,390,830,732,79,715,844,844,844,844,246,844
Able Mortgage,2,2,2,2,0,0,0,2,2,0,0,2,2,2,2,2,2
"Abrahamsen Ratchford, P.C",13,13,13,13,13,5,0,13,11,3,10,13,13,13,13,1,13
Absolute Collections Corp.,16,16,16,16,16,3,2,16,16,4,4,16,16,16,16,11,16
Absolute Home Mortgage Corporation,3,3,3,3,0,1,3,3,2,1,2,3,3,3,3,2,3
"Absolute Mortgage Company, Inc.",10,10,10,10,0,4,0,10,9,1,5,10,10,10,10,8,10
"Absolute Recovery Services, LLC",17,17,17,17,17,11,13,16,16,2,14,17,17,17,17,6,17
Absolute Resolutions Corp.,32,32,32,32,32,13,18,31,21,4,22,32,32,32,32,12,32
Absolute investment Group,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
"Academic Solutions of New York, LLC",2,2,2,2,2,0,0,2,2,0,1,2,2,2,2,0,2
Academy Mortgage Corporation (NY),1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
"Accel Loans, LLC",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
Accelerate Mortgage LLC,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
"Accelerated Creditors Services, Inc",17,17,16,17,16,7,0,17,16,3,12,17,17,17,17,8,17
"Accelerated Financial Solutions, LLC",163,163,161,163,159,66,48,158,145,14,104,163,163,163,163,71,163
"Accelerated Receivables Management, Inc.",67,67,67,67,67,26,0,65,61,8,39,67,67,67,67,40,67
Accelerated Receivables Solutions,14,14,14,14,14,1,3,14,14,2,8,14,14,14,14,5,14
"Accelerated Recovery Services, Inc",2,2,2,2,2,2,1,2,2,0,2,2,2,2,2,0,2
"Accelerated Revenue, Inc.",1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
Accelerated Servicing Group LLC,15,15,15,15,15,6,0,13,9,0,12,15,15,15,15,1,15
"Acceptance Rentals, Inc.",34,34,33,34,30,19,25,34,33,2,29,34,34,34,34,4,34
"Acceptance Solutions Group, INC",69,69,49,69,26,42,21,69,58,3,66,69,69,69,69,46,69
"Access Capital Services, Inc.",21,21,21,21,21,9,5,20,18,2,17,21,21,21,21,8,21
"Access Credit Management, Inc.",9,9,9,9,9,5,1,9,7,1,8,9,9,9,9,6,9
Access Financial LLC,14,14,14,14,10,11,14,14,11,2,13,14,14,14,14,4,14
Access Receivables Management,65,65,65,65,65,22,23,64,56,12,48,65,65,65,65,34,65
"Accord Business Funding, LLC",2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2
Account Brokers Inc.,41,41,41,41,41,11,2,41,36,3,26,41,41,41,41,30,41
Account Control Bureau,11,11,11,11,11,9,5,11,8,1,11,11,11,11,11,1,11
"Account Control Services, Inc",2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2
"Account Control Systems, Inc",16,16,16,16,16,2,8,16,16,3,5,16,16,16,16,11,16
"Account Control Technology, Inc.",327,327,327,327,327,123,245,323,291,39,203,327,327,327,327,185,327
"Account Discovery Systems, LLC",143,143,142,143,138,46,0,142,129,16,77,143,143,143,143,107,143
"Account Information Management, Corp.",2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2
Account Liquidation Services Inc.,13,13,13,13,13,8,9,12,9,2,8,13,13,13,13,7,13
Account Management Resources,61,61,61,61,61,16,7,61,57,10,41,61,61,61,61,42,61
"Account Management Services, Inc.",40,40,40,40,40,16,28,40,38,4,29,40,40,40,40,24,40
"Account Managers, Inc.",23,23,23,23,23,13,7,23,21,5,18,23,23,23,23,12,23
"Account Outsourcing Group, LLC",6,6,6,6,6,6,2,6,5,0,6,6,6,6,6,4,6
"Account Recovery Service, Inc. (WI)",11,11,11,11,11,5,0,11,10,1,6,11,11,11,11,6,11
"Account Recovery Services, Inc.",26,26,26,26,26,12,21,26,23,4,22,26,26,26,26,12,26
"Account Recovery Services, Inc. (Texas)",16,16,16,16,16,2,12,16,15,0,14,16,16,16,16,3,16
"Account Recovery Specialists, Inc.",24,24,24,24,23,15,0,24,13,3,17,24,24,24,24,12,24
Account Resolution Corporation,83,83,82,83,83,32,0,83,72,11,62,83,83,83,83,34,83
"Account Services Collections, Inc",79,79,78,79,79,23,63,78,73,14,58,79,79,79,79,45,79
Accountant Exchange Group,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1
"Accounts Management, Inc",20,20,20,20,20,10,12,20,13,2,15,20,20,20,20,11,20
Accounts Receivable Consultants Inc.,22,22,22,22,21,11,4,20,19,4,15,22,22,22,22,5,22
Accounts Receivable Inc.,15,15,15,15,15,5,4,15,14,2,12,15,15,15,15,5,15
"Accounts Receivable Management, Inc (NJ) (Closed)",78,78,78,78,75,0,0,77,77,21,0,78,78,78,78,78,78
Accounts Receivable Services,9,9,9,9,9,7,0,9,8,0,7,9,9,9,9,3,9
Accounts Recovery Agency Inc.,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
"Accounts Research, Inc.",17,17,17,17,17,10,13,17,12,4,14,17,17,17,17,12,17
"Accredited Collection Service, Inc.",17,17,17,17,17,10,2,17,14,1,16,17,17,17,17,11,17
"Accredited Land Transfer Col, Inc.",1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
Accudata Credit Systems LLC,8,8,6,8,8,3,5,8,6,2,8,8,8,8,8,3,8
Accurate Background,83,83,59,83,82,28,0,82,78,6,67,83,83,83,83,25,83
Accurate Financial Partners,39,39,39,39,39,1,0,39,38,3,1,39,39,39,39,39,39
Accurate Financial Services,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1
Ace Motor Acceptance Corporation,6,6,6,6,4,2,0,6,6,3,3,6,6,6,6,3,6
Acer Capital Recovery LLC,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
"Acquired Assets, Ltd.",24,24,23,24,23,8,18,24,22,5,13,24,24,24,24,18,24
